Return,Volatility
-0.022595552945551732,0.3661472969923379
-0.017847695672539673,0.3529048981430129
-0.013099839275342173,0.3397844940051925
-0.008351981938876162,0.32680077314497336
-0.0036041246075556666,0.3139706958749658
0.0011437327305636377,0.301313889434393
0.005891590056723316,0.2888531316289101
0.010639447392592396,0.2766149180568165
0.01538730474628003,0.2646301261710108
0.020135162059725514,0.2529147838353928
0.024883019393826117,0.2414242211230548
0.02963087676147733,0.23018296997627619
0.03437873406251489,0.21922938498009203
0.039126591422004774,0.20860878462144863
0.04387444875246086,0.19837465813364408
0.048622306065207344,0.188589932230225
0.05337016339863331,0.17932818765024364
0.05811802073260882,0.1706745816028031
0.06286587806658991,0.1627261641667772
0.06761373540005515,0.15559104718928193
0.07236159273966339,0.14938581314656918
0.07710945006427802,0.14423118223792955
0.08185730739942129,0.14024103825290843
0.08660516474050778,0.13734497921726407
0.09135302207005619,0.13488199445419247
0.09610087940395748,0.1327527875468235
0.1008487367385813,0.13093967955046254
0.10559659407064569,0.12944035295440096
0.11034445140590243,0.12826528200490328
0.11509230873931629,0.1274235023565643
0.1198401660732995,0.1269227970768337
0.12458802340505992,0.12676547826711887
0.12933588074400942,0.12695346317152853
0.13408373807083473,0.12756877269653435
0.13883159540583084,0.12915767565205297
0.1435794527435752,0.13178840753442936
0.14832731007236066,0.13539479765967175
0.15307516741081242,0.13990766395614637
0.1578230247371722,0.145240149196721
0.16257088207836357,0.15130450737110146
0.16731873941537012,0.15801654140668595
0.1720665967497002,0.1652996824427964
0.17681445408029478,0.1730797435864228
0.1815623114175329,0.1812937776286988
0.18631016875255968,0.18988511476558556
0.19105802608351632,0.1988935847466132
0.19580588342306632,0.21099020143892477
0.20055374074523982,0.22699957834049347
0.20530159807210072,0.24615950727508293
0.21004945541710268,0.2681397076418856
