Portfolio,Return,Volatility,Sharpe Ratio,AAPL weight,JPM weight,KO weight,JNJ weight,XOM weight,BA weight
Simulation Minimum Variance,0.11377031065448891,0.12730998285362907,0.8936479929095034,0.05626200013118805,0.03548188937832857,0.37792098760086407,0.34904523347582866,0.12912593283940893,0.052163956574381665
Optimized Minimum Variance,0.11920722056239472,0.12656113291094015,0.9418943859034486,0.056167047874191085,0.09794573726811787,0.34618746072662615,0.3564170759963138,0.11655762066474289,0.0267250574700081
Simulation Maximum Sharpe,0.1496803794559039,0.14000618312415358,1.0690983506290683,0.15675511668012965,0.14745174204782052,0.1921531522920089,0.22976811886728465,0.27310482756413546,0.0007670425486208584
Optimized Maximum Sharpe,0.14877327052030279,0.13883470317593558,1.0715856130853159,0.1501765662912233,0.1519650445408844,0.24081822863728786,0.19536766530908065,0.261672495221524,0.0
