Return,Volatility,Sharpe Ratio,AAPL weight,JPM weight,KO weight,JNJ weight,XOM weight,BA weight
0.09726845506393675,0.16505830744314887,0.5892975432178049,0.20162455608114557,0.11433294016332621,0.22367474842702245,0.18167248585577878,0.024534294933382033,0.25416097453934494
0.11296513792756223,0.1860240258088255,0.6072610107022146,0.22234309884287615,0.22962404019658628,0.037424380857562806,0.13156613016650232,0.10831701662270264,0.27072533331376974
0.15636883202221724,0.15784974065026763,0.9906182384465775,0.23365003322483813,0.2985691758745479,0.16090907716105393,0.08246189029207099,0.20125139547240226,0.02315842797508662
0.12459372804921805,0.16545928118026607,0.7530174624261455,0.1865829222815449,0.14240375843464162,0.1709049038720947,0.07992508426079144,0.21883621614743473,0.20134711500349267
0.10646173864937994,0.19384526810586253,0.5492098914234996,0.3353821306515033,0.08386398837084082,0.20109609882305574,0.018873730436872366,0.06647872004132278,0.294305331676405
0.1483919420052081,0.16148392785141355,0.9189270039415205,0.24278459076446682,0.31539794629247075,0.10621562281159774,0.12076594844533543,0.1530702313179628,0.06176566036816642
0.09697372591842379,0.17105106175475557,0.5669285237028219,0.04686618851597262,0.17159958771193934,0.08185231768363703,0.2416199601780365,0.15769247890938817,0.3003694670010264
0.12453709583366973,0.13811479392715598,0.9016926593638669,0.21057676223043584,0.09393179209266753,0.25026889646684713,0.24200073982779916,0.11651864737678971,0.08670316200546062
0.12878137001190385,0.19572977046046894,0.6579549432308434,0.27505631665109304,0.056322427269540586,0.08056611878158297,0.0029671093627857605,0.31714277896053183,0.267945248974466
0.13834251599488598,0.1512495877511463,0.9146637557948484,0.25476746564220665,0.28206767180519976,0.16580055207033143,0.20547910815119116,0.050506913692715844,0.04137828863835519
0.12331041538100365,0.149353187303674,0.8256296206808188,0.18272201794404894,0.1287840634363358,0.1545191866212231,0.20912853913380222,0.1735136121268723,0.15133258073771766
0.1193318649217147,0.1727883689177141,0.6906244075869675,0.28621430082149524,0.15556822392197697,0.015773233236029565,0.22352139062224008,0.10982906945644756,0.20909378194181047
0.1155912659215578,0.19555784000084916,0.5910847957875577,0.35819052976192556,0.09818913359831305,0.024470839848519048,0.11810251041615398,0.12322723801136053,0.2778197483637279
0.14763058108579302,0.1487671502141206,0.992360079986128,0.1641891766405816,0.2310595555072248,0.19581112644771978,0.11978540896956183,0.2399382803401984,0.0492164520947135
0.08422742232033706,0.1484305608456056,0.5674533724085883,0.01159185507126614,0.04595889355571862,0.36867990218842245,0.23573426706740516,0.08231036764564222,0.2557247144715454
0.10721675809940219,0.16582187554744307,0.6465778881431512,0.0584107341686619,0.2670344877418081,0.17109812776540362,0.1461192456390079,0.11562799130296471,0.24170941338215374
0.11458468504743158,0.16051104178656436,0.7138741595098346,0.11531310324734707,0.027934858821698643,0.03760959783631235,0.30656588927602485,0.28957326511053644,0.22300328570808067
0.12895981763045156,0.1409937678211143,0.9146490630285814,0.0770126273480333,0.2807343062505442,0.225575137690736,0.20765639218542875,0.1301632938116671,0.07885824271359067
0.11392153181352752,0.17322672891104907,0.6576440745009136,0.03791472803942764,0.3550325012649852,0.17927649739964102,0.0795982503954714,0.12034595295418206,0.22783206994629263
0.11244125867577992,0.14888888375129944,0.7552025097024652,0.04950548816732754,0.2398961401183401,0.21242455419085934,0.20148670095273433,0.12100831650721058,0.1756788000635282
0.11553140138746454,0.18114139012284466,0.637796813357315,0.25733440732799556,0.28630109838681117,0.037203398212800186,0.18319110336806083,0.01833384010413184,0.21763615260020044
0.07658232959591244,0.19524264115985185,0.3922418235123743,0.145882312883032,0.06391634466574579,0.045730336051505664,0.25988793509907304,0.07544535665695712,0.4091377146436863
0.13921292302425056,0.1692347729862634,0.8226023562873235,0.1948226707113339,0.1163011894814369,0.198126713953836,0.00764585816021567,0.3213931429917072,0.16171042470147032
0.12972313085364778,0.16131008307515718,0.8041848865281875,0.2334860743343391,0.024677952695993596,0.14516779014619538,0.14637548659044067,0.2797490259231443,0.17054367030988696
0.14665701727482494,0.14079634683885084,1.041625159796809,0.23060709228889267,0.1300271584539969,0.16148653422785333,0.2535869831531681,0.21376633860711014,0.010525893268978981
0.11776329040781644,0.1794266328844836,0.6563311617380316,0.25841377049575703,0.2802644891480633,0.04386137009878509,0.17326875000315028,0.0339558766455784,0.21023574360866593
