,mean,standard_deviation,minimum,maximum,skewness,kurtosis
AAPL,0.0007030486168871782,0.017276494078808515,-0.0970133663630358,0.1426174490261495,0.24856168872363435,5.971456770546441
JPM,0.0006584335525360922,0.015377648364592331,-0.0777867667598894,0.109253784339811,-0.049936022271923695,4.72060101871345
KO,0.00041303364271218137,0.010107704277118964,-0.0721684979483074,0.0461677681675606,-0.2691652986006409,3.8709997402521266
JNJ,0.0003717979500034657,0.010612581203215189,-0.0789527588818844,0.0600899322264962,-0.010907146656646044,5.034804098615403
XOM,0.0008125671821549526,0.016822937175205204,-0.0821355671197875,0.0621415622138297,-0.3160880633835789,1.4927771327766468
BA,-4.293732864491999e-05,0.023039362837823905,-0.1106080981147306,0.1430100172998992,-0.15088017474435197,3.490003370937533
