,AAPL,JPM,KO,JNJ,XOM,BA
AAPL,***,***,***,***,***,***
JPM,***,***,***,***,***,***
KO,***,***,***,***,***,***
JNJ,***,***,***,***,***,**
XOM,***,***,***,***,***,***
BA,***,***,***,**,***,***
