,AAPL,JPM,KO,JNJ,XOM,BA
AAPL,1.0,0.3778286015018505,0.267559733118598,0.1558694441166967,0.18651447111402683,0.38354154953104286
JPM,0.3778286015018505,1.0,0.21012041231052322,0.18324459305257018,0.30417982520436665,0.40400227988631904
KO,0.267559733118598,0.21012041231052322,1.0,0.45094880560825523,0.16801378669605396,0.14160124200070523
JNJ,0.1558694441166967,0.18324459305257018,0.45094880560825523,1.0,0.12153117946564525,0.07099597856498474
XOM,0.18651447111402683,0.30417982520436665,0.16801378669605396,0.12153117946564525,1.0,0.21030273312111986
BA,0.38354154953104286,0.40400227988631904,0.14160124200070523,0.07099597856498474,0.21030273312111986,1.0
