,AAPL,JPM,KO,JNJ,XOM,BA
AAPL,0.0,2.522797942184198e-43,9.362758509060733e-22,3.493431506692232e-08,3.672541667863422e-11,1.0691338585143865e-44
JPM,2.522797942184198e-43,0.0,7.885111549021939e-14,8.10185175491435e-11,6.1631015327698735e-28,7.643306073966991e-50
KO,9.362758509060733e-22,7.885111549021939e-14,0.0,4.290786261025238e-63,2.675416350752012e-09,5.601054485159213e-07
JNJ,3.493431506692232e-08,8.10185175491435e-11,4.290786261025238e-63,0.0,1.7914113608725768e-05,0.012431591300554911
XOM,3.672541667863422e-11,6.1631015327698735e-28,2.675416350752012e-09,1.7914113608725768e-05,0.0,7.497257355099819e-14
BA,1.0691338585143865e-44,7.643306073966991e-50,5.601054485159213e-07,0.012431591300554911,7.497257355099819e-14,0.0
