Date,AAPL,JPM,KO,JNJ,XOM,BA
2021-06-23,-0.0020919601929887998,0.006039914727561887,-0.008096918274116613,-0.00606860337589776,0.00734105246372559,-0.0008617686075467965
2021-06-24,-0.002171556313323167,0.009155792139853444,0.004976398795620049,0.004539770533834103,0.004037858102758534,0.028333946223769602
2021-06-25,-0.0022506039956565194,0.0100471820877026,-0.0012879039559525502,0.005128652158170614,0.002167518666641517,-0.008778500657992279
2021-06-28,0.012467628821131106,0.001815607317523581,-0.0011050880260150037,-0.001157916979173529,-0.025849443368341853,-0.0344875804145225
2021-06-29,0.0114345862043358,-0.001231904387419474,-0.007399257772874262,6.103279047456608e-05,-0.0062087015521344385,-0.01765795563437636
2021-06-30,0.004610351974995553,0.009041554745598406,0.004630815217536583,0.004318930563796977,0.00731927400662939,0.015989582075426285
2021-07-01,0.002260852132441629,0.009852752615292322,-0.0027758002540853137,0.007378613183596555,0.0028492478324954654,0.0007093750274589863
2021-07-02,0.01940667539359997,-0.0009609484508162723,0.0040687810215804445,0.018033409937655294,-0.001423645427745692,-0.012804285369677586
2021-07-06,0.014611716789537625,-0.016934158523992344,-0.005552205676882025,-0.005995046422601589,-0.02890856491672758,-0.0022841399685715877
2021-07-07,0.017795658840202216,0.0011723938181214056,0.008132755490739572,0.008536566230612367,-0.015766267185736694,-0.018636206254662228
2021-07-08,-0.009242144313233159,-0.01740416817727807,-0.0035039018644054615,-0.001949783310169473,-0.004479492073936332,0.021300583200081925
2021-07-09,0.012970408465211311,0.03149779621267128,0.006077890789343225,0.003954748493092408,0.01796205808651654,0.011839890018686447
2021-07-12,-0.004212825720434828,0.014214751826153763,0.00036725363108215393,-0.0015917123335184098,-0.0009803706798840101,-0.005440722720412666
2021-07-13,0.0078584539000691,-0.014985107159675094,0.009863276646649998,-0.0012398562061198123,-0.004752218079153347,-0.04326596708315177
2021-07-14,0.023814740678667175,-0.0034107031501489256,0.022286834300101938,0.00677104775691124,-0.022424098409559442,-0.016569472423466493
2021-07-15,-0.004502294803229801,0.0021893897767601774,0.0031943834819615434,-0.01210248116107405,-0.009790956863020119,-0.007558017569431377
2021-07-16,-0.014175976337096823,-0.02310043082865129,-0.0007089642567905688,-0.0016046646548903678,-0.028039945804651946,-0.022793218380782968
2021-07-19,-0.027282960825273043,-0.03305962905502304,-0.011950485272421922,-0.00728402105134009,-0.03497291832939375,-0.050631206223117155
2021-07-20,0.02564221500374365,0.018471566806345423,0.0017926677186173117,0.009363921989312015,0.010960400220162654,0.04791782141545421
2021-07-21,-0.005144710508138153,0.02082247196793505,0.012813845803445275,0.006155016297074205,0.03165945343622097,0.024518499686834352
2021-07-22,0.00958245544683981,-0.012706485655314088,-0.0014157487778031347,0.0028866914256285804,-0.01131742522693398,-0.00753255952209491
2021-07-23,0.011917361059069521,-0.0019232608420496303,0.009517034139955959,0.010591953326524428,-0.001226255513105502,0.002938627111528658
2021-07-26,0.0028908012664144917,0.006682486526315823,0.0008768822452667952,0.00046567526513464783,0.024931964787764615,0.0193581909755284
2021-07-27,-0.015012389247578474,-0.001319585169115328,0.003499010278626384,0.004586071978288374,-0.011177304970896732,-0.01597821080663924
2021-07-28,-0.01227118944571136,0.0016490677136923014,-0.009122893023094481,-0.002783880805832196,0.0067213950987905155,0.04098935693978548
2021-07-29,0.004541947712293153,0.008533162979458922,0.005448459263558051,0.0,0.01212134155736633,0.00025905681065692334
2021-07-30,0.0015094455971289191,-0.008005967084935197,-0.00035039644432016345,0.00011576742673505925,-0.023348843986650686,-0.022484670130042763
2021-08-02,-0.002333437738673919,-0.004026863664169522,-0.002633721477888905,0.0004065587661128485,0.00017382867249367184,-0.0050462654544801986
