Date,AAPL,JPM,KO,JNJ,XOM,BA
2021-06-14,127.18563842773438,138.86692810058594,48.221656799316406,143.67405700683594,51.64642333984375,245.13999938964844
2021-06-15,126.36686706542969,136.76058959960938,48.10013198852539,142.9095458984375,53.526893615722656,246.5399932861328
2021-06-16,126.86395263671875,137.72120666503906,47.457759857177734,142.85740661621094,53.33551788330078,242.27000427246094
2021-06-17,128.4625244140625,133.7465362548828,47.7008171081543,143.5437469482422,51.57986068725586,239.22000122070312
2021-06-18,127.16613006591797,130.3623504638672,46.67649841308594,140.7288055419922,50.25687026977539,237.35000610351562
2021-06-21,128.9596710205078,132.5743865966797,47.18865203857422,142.3448028564453,52.0791015625,245.27999877929688
2021-06-22,130.59730529785156,132.38052368164062,47.362266540527344,142.1536865234375,53.07757568359375,243.77999877929688
2021-06-23,130.32432556152344,133.1824951171875,46.980316162109375,141.29356384277344,53.468650817871094,243.57000732421875
2021-06-24,130.0417022705078,134.40753173828125,47.21469497680664,141.9364776611328,53.68497848510742,250.57000732421875
2021-06-25,129.7492218017578,135.7647247314453,47.153926849365234,142.666259765625,53.80147933959961,248.3800048828125
2021-06-28,131.3770751953125,136.01150512695312,47.10184097290039,142.5011749267578,52.42855453491211,239.9600067138672
2021-06-29,132.88792419433594,135.8440399169922,46.75461196899414,142.50985717773438,52.10405349731445,235.75999450683594
2021-06-30,133.5020294189453,137.07786560058594,46.97163391113281,143.12673950195312,52.48680877685547,239.55999755859375
2021-07-01,133.80418395996094,138.43505859375,46.8414192199707,144.1866455078125,52.63657760620117,239.72999572753906
2021-07-02,136.42626953125,138.30213928222656,47.032405853271484,146.81045532226562,52.56169128417969,236.67999267578125
2021-07-06,138.43429565429688,135.97982788085938,46.77197265625,145.93296813964844,51.06397247314453,236.13999938964844
2021-07-07,140.9198760986328,136.1393280029297,47.153926849365234,147.18406677246094,50.26519012451172,231.77999877929688
2021-07-08,139.62350463867188,133.79043579101562,46.98899841308594,146.8973388671875,50.040523529052734,236.77000427246094
2021-07-09,141.44625854492188,138.07167053222656,47.27545166015625,147.47943115234375,50.947479248046875,239.58999633789062
2021-07-12,140.85166931152344,140.0482940673828,47.292823791503906,147.24485778808594,50.897560119628906,238.2899932861328
2021-07-13,141.96292114257812,137.9652862548828,47.76158905029297,147.0623779296875,50.65626525878906,228.1999969482422
2021-07-14,145.38424682617188,137.4954833984375,48.8380012512207,148.06150817871094,49.5329704284668,224.4499969482422
2021-07-15,144.73110961914062,137.79689025878906,48.99423599243164,146.28050231933594,49.05036163330078,222.75999450683594
2021-07-16,142.69390869140625,134.65020751953125,48.959529876708984,146.0458984375,47.69409942626953,217.74000549316406
2021-07-19,138.85340881347656,130.27149963378906,48.3779182434082,144.98597717285156,46.05492401123047,206.99000549316406
2021-07-20,142.45999145507812,132.7001495361328,48.464725494384766,146.35000610351562,46.56248474121094,217.14999389648438
2021-07-21,141.7289276123047,135.49227905273438,49.0897331237793,147.25350952148438,48.060211181640625,222.5399932861328
2021-07-22,143.09356689453125,133.7815399169922,49.020294189453125,147.67922973632812,47.51936721801758,220.8699951171875
2021-07-23,144.8091278076172,133.5244903564453,49.48905944824219,149.25181579589844,47.46112060546875,221.52000427246094
2021-07-26,145.228271484375,134.41976928710938,49.532466888427734,149.3212890625,48.6593017578125,225.85000610351562
2021-07-27,143.06434631347656,134.2424774169922,49.706077575683594,150.00762939453125,48.11845397949219,222.27000427246094
2021-07-28,141.31951904296875,134.4640655517578,49.254676818847656,149.5906219482422,48.44296646118164,231.57000732421875
2021-07-29,141.96292114257812,135.6163787841797,49.523773193359375,149.5906219482422,49.033729553222656,231.6300048828125
2021-07-30,142.17730712890625,134.53500366210938,49.50640869140625,149.6079864501953,47.90211868286133,226.47999572753906
2021-08-02,141.84588623046875,133.99429321289062,49.37620544433594,149.66883850097656,47.91043472290039,225.33999633789062
2021-08-03,143.63946533203125,135.51885986328125,49.41093063354492,151.51068115234375,48.426326751708984,229.08999633789062
2021-08-04,143.23976135253906,134.05636596679688,48.699100494384766,150.61581420898438,47.294708251953125,226.6300048828125
2021-08-05,143.3470001220703,135.74932861328125,49.04633712768555,150.9025115966797,47.59425354003906,229.94000244140625
2021-08-06,142.66368103027344,139.6051025390625,49.167869567871094,150.39859008789062,48.14341735839844,231.3300018310547
2021-08-09,142.61483764648438,139.45443725585938,49.17654800415039,150.91990661621094,47.59425354003906,232.27000427246094
2021-08-10,142.1365203857422,141.16514587402344,49.306758880615234,150.97198486328125,48.40967559814453,235.77999877929688
2021-08-11,142.39035034179688,142.8492431640625,49.24599075317383,150.9980926513672,48.55113220214844,239.49000549316406
2021-08-12,145.34825134277344,143.40768432617188,49.341487884521484,152.21441650390625,48.44131851196289,238.17999267578125
2021-08-13,145.55328369140625,141.80331420898438,49.68002700805664,153.12667846679688,47.951416015625,234.4600067138672
2021-08-16,147.52523803710938,140.87258911132812,49.89704513549805,154.508056640625,47.25035095214844,229.05999755859375
2021-08-17,146.6173553466797,139.17074584960938,49.72343826293945,155.9241943359375,46.929386138916016,222.22000122070312
2021-08-18,142.87844848632812,137.9032440185547,49.04633712768555,153.94332885742188,45.94112777709961,219.0
2021-08-19,143.21035766601562,136.7509307861328,49.35884475708008,155.14230346679688,44.53899383544922,212.16000366210938
2021-08-20,144.6649169921875,137.14096069335938,49.167869567871094,155.89813232421875,44.54743576049805,212.6699981689453
2021-08-23,146.1487579345703,138.89598083496094,48.99423599243164,155.22518920898438,46.38035583496094,219.39999389648438
2021-08-24,146.06088256835938,139.75575256347656,48.620975494384766,153.2849884033203,46.76045227050781,221.42999267578125
2021-08-25,144.83087158203125,142.63653564453125,48.673065185546875,152.2711639404297,46.84490966796875,221.02999877929688
2021-08-26,144.03036499023438,143.37220764160156,48.21298599243164,151.45838928222656,46.211421966552734,216.5
2021-08-27,145.06520080566406,144.5245361328125,48.30847930908203,151.135009765625,47.10676956176758,221.75
2021-08-30,149.4776153564453,142.2110595703125,48.7685546875,151.7729949951172,46.59151840209961,217.66000366210938
2021-08-31,148.2183380126953,141.7767333984375,48.881404876708984,151.309814453125,46.050941467285156,219.5
2021-09-01,148.88209533691406,141.57286071777344,49.21127700805664,151.8429412841797,45.41743850708008,218.1199951171875
2021-09-02,149.99502563476562,142.22877502441406,49.28071594238281,152.8829345703125,46.5239372253418,220.8300018310547
2021-09-03,150.6295623779297,141.36900329589844,49.24599075317383,152.9790802001953,46.346561431884766,218.1699981689453
2021-09-07,152.96275329589844,141.12081909179688,48.325836181640625,150.6018829345703,46.07626724243164,214.24000549316406
2021-09-08,151.4202880859375,140.491455078125,48.976890563964844,150.23480224609375,45.65394592285156,211.3800048828125
2021-09-09,150.40504455566406,141.1030731201172,48.490760803222656,146.88751220703125,45.68772506713867,213.94000244140625
2021-09-10,145.4263458251953,139.48101806640625,48.27375030517578,145.92617797851562,45.59481430053711,210.3000030517578
2021-09-13,145.99258422851562,141.6969757080078,48.673065185546875,144.9036102294922,46.76888656616211,214.47999572753906
